Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor_por_mes;Valor_por_ano;Descricao;Possui_suite
Quitinete;Centro;1;0;0;27;850.0;143.0;24.0;993.0;11940.0;Quitinete em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Barra da Tijuca;1;1;1;48;1200.0;650.0;50.0;1850.0;22250.0;Apartamento em Barra da Tijuca com 1 quarto(s)\ e 1 vaga(s) de garagem;Sim
Quitinete;Copacabana;1;0;0;26;900.0;470.0;24.0;1370.0;16464.0;Quitinete em Copacabana com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Centro;1;0;0;33;800.0;380.0;25.0;1180.0;14185.0;Apartamento em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Praça Seca;1;1;0;48;450.0;275.0;0.0;725.0;8700.0;Apartamento em Praça Seca com 1 quarto(s)\ e 1 vaga(s) de garagem;Não
Casa de Vila;Vila da Penha;1;0;0;60;1100.0;80.0;0.0;1180.0;14160.0;Casa de Vila em Vila da Penha com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Centro;1;0;0;42;1090.0;345.0;24.0;1435.0;17244.0;Apartamento em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Casa de Vila;Marechal Hermes;1;0;0;88;750.0;76.0;0.0;826.0;9912.0;Casa de Vila em Marechal Hermes com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Glória;1;0;0;20;900.0;495.0;0.0;1395.0;16740.0;Apartamento em Glória com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Grajaú;1;0;0;50;1200.0;170.0;20.0;1370.0;16460.0;Apartamento em Grajaú com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Copacabana;1;0;0;22;1000.0;510.0;29.0;1510.0;18149.0;Quitinete em Copacabana com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Vila Isabel;1;1;0;70;1200.0;770.0;0.0;1970.0;23640.0;Apartamento em Vila Isabel com 1 quarto(s)\ e 1 vaga(s) de garagem;Não
Apartamento;Recreio dos Bandeirantes;1;0;0;24;1000.0;364.0;0.0;1364.0;16368.0;Apartamento em Recreio dos Bandeirantes com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Copacabana;1;0;0;22;950.0;430.0;67.0;1380.0;16627.0;Quitinete em Copacabana com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Tijuca;1;1;0;50;1200.0;390.0;30.0;1590.0;19110.0;Apartamento em Tijuca com 1 quarto(s)\ e 1 vaga(s) de garagem;Não
Quitinete;Tijuca;1;0;0;25;900.0;385.0;200.0;1285.0;15620.0;Quitinete em Tijuca com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Leme;1;0;0;25;1000.0;550.0;25.0;1550.0;18625.0;Quitinete em Leme com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Copacabana;1;0;0;29;1000.0;550.0;0.0;1550.0;18600.0;Quitinete em Copacabana com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Santa Teresa;1;0;0;20;1200.0;330.0;14.0;1530.0;18374.0;Quitinete em Santa Teresa com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Cachambi;1;0;1;39;850.0;320.0;0.0;1170.0;14040.0;Apartamento em Cachambi com 1 quarto(s)\ e 0 vaga(s) de garagem;Sim
Apartamento;Tijuca;1;0;0;53;1200.0;402.0;19.0;1602.0;19243.0;Apartamento em Tijuca com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Copacabana;1;0;0;33;1100.0;523.0;56.0;1623.0;19532.0;Apartamento em Copacabana com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Sampaio;1;0;0;51;800.0;205.0;0.0;1005.0;12060.0;Apartamento em Sampaio com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Copacabana;1;0;0;30;850.0;550.0;54.0;1400.0;16854.0;Quitinete em Copacabana com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Catete;1;0;0;30;1200.0;470.0;0.0;1670.0;20040.0;Quitinete em Catete com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Freguesia (Jacarepaguá);1;1;0;49;1100.0;590.0;36.0;1690.0;20316.0;Apartamento em Freguesia (Jacarepaguá) com 1 quarto(s)\ e 1 vaga(s) de garagem;Não
Quitinete;Lapa;1;0;0;19;1100.0;256.0;0.0;1356.0;16272.0;Quitinete em Lapa com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Casa de Vila;Pilares;1;0;0;22;450.0;131.0;17.0;581.0;6989.0;Casa de Vila em Pilares com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Marechal Hermes;1;0;0;50;800.0;280.0;0.0;1080.0;12960.0;Apartamento em Marechal Hermes com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Copacabana;1;0;0;26;1200.0;440.0;55.0;1640.0;19735.0;Apartamento em Copacabana com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Vila da Penha;1;0;0;45;1100.0;250.0;0.0;1350.0;16200.0;Apartamento em Vila da Penha com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Bonsucesso;1;0;0;38;850.0;170.0;0.0;1020.0;12240.0;Apartamento em Bonsucesso com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Cachambi;1;1;0;48;750.0;250.0;0.0;1000.0;12000.0;Apartamento em Cachambi com 1 quarto(s)\ e 1 vaga(s) de garagem;Não
Flat;Barra da Tijuca;1;1;1;52;1200.0;2020.0;587.0;3220.0;39227.0;Flat em Barra da Tijuca com 1 quarto(s)\ e 1 vaga(s) de garagem;Sim
Quitinete;Tijuca;1;0;0;28;1200.0;300.0;20.0;1500.0;18020.0;Quitinete em Tijuca com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Tijuca;1;0;1;48;1200.0;620.0;47.0;1820.0;21887.0;Apartamento em Tijuca com 1 quarto(s)\ e 0 vaga(s) de garagem;Sim
Apartamento;Maracanã;1;0;0;54;1000.0;450.0;20.0;1450.0;17420.0;Apartamento em Maracanã com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Casa de Condomínio;Vargem Grande;1;1;0;35;800.0;250.0;0.0;1050.0;12600.0;Casa de Condomínio em Vargem Grande com 1 quarto(s)\ e 1 vaga(s) de garagem;Não
Apartamento;Sampaio;1;0;0;51;800.0;205.0;0.0;1005.0;12060.0;Apartamento em Sampaio com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Vila Isabel;1;0;0;41;1200.0;450.0;0.0;1650.0;19800.0;Apartamento em Vila Isabel com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Tijuca;1;0;0;51;1200.0;670.0;0.0;1870.0;22440.0;Apartamento em Tijuca com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Botafogo;1;0;0;24;1100.0;520.0;0.0;1620.0;19440.0;Quitinete em Botafogo com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Flat;Copacabana;1;1;0;60;890.0;1800.0;150.0;2690.0;32430.0;Flat em Copacabana com 1 quarto(s)\ e 1 vaga(s) de garagem;Não
